Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
166,1789,200,1.03704e+08,156,7,0,0,9142728,26723680,,879952,659052,3139796,1533580,2930348,,3005572,4324832,6052060,8772268,4568948
167,1801,192,1.03492e+08,156,6,0,0,9142848,26745012,,880036,659060,3139796,1533592,2930364,,3029412,4319280,6048292,8779056,4568972
168,1814,201,9.92647e+07,156,7,0,0,9142940,26665080,,880132,659056,3139812,1533584,2930356,,2976644,4316164,6026220,8775340,4570712
169,1827,205,1.01756e+08,156,7,0,0,9142984,26683212,,880084,659064,3139872,1533580,2930384,,3024108,4319504,6038488,8776916,4524196
170,1839,191,9.30431e+07,156,7,0,0,9143240,26658988,,880072,659068,3139904,1533604,2930592,,2993372,4309272,6040652,8752484,4563208
171,1851,203,9.51459e+07,158,7,0,0,9143140,26610480,,880052,659076,3139892,1533664,2930456,,2981808,4301584,6040472,8760620,4525996
172,1863,200,1.0257e+08,161,8,0,0,9141952,26708308,,880096,659056,3139900,1533668,2929232,,2967836,4274464,6032196,8768688,4665124
173,1875,207,9.75144e+07,163,9,0,0,9142288,26679492,,880164,659308,3139920,1533668,2929228,,2964660,4276196,6000448,8766160,4672028
174,1887,207,9.54001e+07,166,8,0,0,9142524,26664852,,880232,659296,3139936,1533680,2929380,,2970416,4280596,6015220,8734244,4664376
175,1898,212,9.35658e+07,168,7,0,0,9142536,26625236,,880208,659316,3139948,1533752,2929312,,2939052,4277224,5999448,8747308,4662204
176,1910,201,9.07146e+07,169,7,0,0,9142692,26608868,,880240,659328,3139984,1533808,2929332,,2939864,4260412,6014552,8729952,4664088
177,1922,208,9.73472e+07,169,8,0,0,9142836,26614708,,880392,659300,3140016,1533820,2929308,,2915848,4281796,6016720,8736412,4663932
178,1933,208,1.02931e+08,169,9,0,0,9142996,26591504,,880332,659376,3140060,1533820,2929408,,2941352,4278828,5990784,8741152,4639388
179,1945,213,1.05681e+08,171,8,0,0,9143296,26592064,,880328,659384,3140204,1533896,2929484,,2927516,4285692,5981704,8741652,4655500
180,1956,213,9.23535e+07,172,8,0,0,9143408,26569808,,880380,659460,3140192,1533892,2929484,,2938704,4279316,5977376,8737084,4637328
181,1968,219,9.85331e+07,172,9,0,0,9143444,26538276,,880412,659476,3140196,1533900,2929460,,2925440,4279948,5983368,8718708,4630812
182,1980,219,1.11327e+08,173,9,0,0,9143480,26496116,,880344,659496,3140204,1533968,2929468,,2923012,4213352,5982576,8731684,4645492
183,1991,223,1.1042e+08,173,10,0,0,9143832,26522012,,880396,659736,3140268,1533964,2929468,,2934488,4246428,5984620,8728616,4627860
