Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
156,185,0,0,110857156,165502868,,17218096,18341936,18029084,18798172,18026816,20443052,,28115688,28074776,28457612,26986300,28585792,25282700
157,4,0,0,111014676,165367516,,17363132,18341908,18019488,18795756,18023356,20471036,,28031848,28076472,28451652,26966576,28571388,25269580
158,183,0,0,110914364,165466180,,17273312,18339572,18014860,18806276,18022924,20457420,,28106928,28057236,28474340,26979400,28578828,25269448
159,229,0,0,110881416,165380080,,17192288,18336744,18013392,18800412,18027832,20510748,,28146812,28070176,28448568,26969348,28548880,25196296
160,145,0,0,111025384,165327020,,17283328,18345292,18016920,18825692,18024812,20529340,,28040932,28057824,28435872,26950088,28582724,25259580
161,224,0,0,111048632,165217540,,17274144,18356684,18016768,18824548,18037832,20538656,,28053944,28056656,28446740,26945976,28570400,25143824
162,227,0,0,111030584,165180708,,17209884,18350536,18019116,18827032,18025568,20598448,,28101684,28064068,28464496,26913820,28564668,25071972
163,3,0,0,111141300,165134236,,17311136,18350284,18014208,18825704,18027088,20612880,,28010472,28062068,28467544,26938136,28573464,25082552
164,34,0,0,111012736,165226924,,17313572,18367056,18014368,18839112,18032960,20445668,,28033172,28051364,28454240,26926764,28560500,25200884
165,224,0,0,111060812,165174656,,17268524,18351180,18035460,18842736,18035476,20527436,,28024468,28061188,28448316,26925184,28562576,25152924
166,216,0,0,110995932,165187652,,17246748,18336080,18021964,18847248,18025992,20517900,,28071364,28069364,28434240,26911968,28562356,25138360
167,74,0,0,110752668,165423460,,17134712,18353280,18028908,18828628,18032584,20374556,,28176736,28044352,28438132,26937692,28565344,25261204
168,7,0,0,111050960,165191480,,17266504,18359712,18027836,18837388,18032920,20526600,,28028208,28040300,28461264,26931208,28564148,25166352
169,207,0,0,111097364,165022592,,17322004,18349160,18022924,18829484,18033592,20540200,,27950812,28045112,28451752,26931064,28543520,25100332
170,129,0,0,111230148,164881840,,17381596,18345352,18020412,18835748,18038164,20608876,,27911736,28037668,28431884,26911904,28542120,25046528
171,124,0,0,111106236,165006060,,17238240,18363220,18022760,18844356,18039120,20598540,,28025124,28053864,28441520,26908908,28544868,25031776
